Decidim Commentable ID,Body
11649,Otima
11886,Super favorável 
11873,Otima
11767,Parabéns pela proposta! TB Precisamos cuidar e dar oportunidades a nossa juventude. Ela é o futuro do nosso país! 
11862,✊️✊️✊️✊️
11711,"Ótima proposta, fundamental que as vagas do ID jovem sejam ampliadas "
11791,Proposta incrível😍👏🏻👏🏻👏🏻👏🏻
2186,"Muito obrigado, tia Lenny! 🥰🤝🏽"
11791,Super apoio☺👏👏
2188,"Muito obrigado, Dani!! 🥰🤝🏽"
11651,a Favor.
11650,a Favor.
11649,a Favor.
11873,a Favor.
11910,Otima
11873,Otima
11649,Otima
11650,Otima
11651,Otima
11651,299.234.334-04
11651,otima
11650,otima
11649,otima
11873,otima
11910,otima
11910,Otima 
11873,Otima 
11649,Otima 
11650,Otima 
11651,Otima 
11910,Otima
11873,Otima
11649,Otima
11650,Otima
11651,Otima
11910,Otima
11873,Otima
11649,Otima
11650,Otima
11651,Otima
11651,Otima
11650,Otima
11910,Otima
11651,Ótima Proposta.
11650,Ótima Proposta.
11649,Ótima Proposta.
11873,Ótima Proposta.
11910,Ótima Proposta.
11910,Ótima Proposta.
11873,Ótima Proposta.
11649,Ótima Proposta.
11650,Ótima Proposta.
11651,Ótima Proposta.
11791,Iniciativa incrível!! Boa sorte Samuel.
2235,"Valeu, meu brother! 🤝🏽 Tmj!"
11791,Top Samuel 
2237,"Valeu, Wigo! Tmj, meu brother! 🤝🏽"
11773,Ótima iniciativa!
11791,Muito boa a proposta!!
2240,"Muito obrigado, meu querido! Tmj, Otávio!  🤝🏽"
11791,Muito boa essa proposta para incentivar os jovens.
2242,"Muito obrigado por acreditar na minha proposta, Roseane! 🥰🤝🏽"
11658,"Ótima proposta
Vita na minha 
gid://decide/Decidim::Proposals::Proposal/11651"
11719,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11802,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11819,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11868,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11738,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11911,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11909,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11907,"Apoiada.
Me ajude na minha também.

gid://decide/Decidim::Proposals::Proposal/11651"
11909,Importante que a secretaria nacional de proteção de direito do consumidor do ministério da justiça esteja atenta para evitar O enriquecimento ilícito das instituições de ensino
11651,Muito bomm
11911,"Excelente proposta! Assim podemos fomentar mais políticas públicas para as juventudes! Aproveita e me ajuda também ♥️

gid://decide/Decidim::Proposals::Proposal/11909"
