ID,Decidim Commentable Type,Decidim Commentable ID,Decidim Author ID,Created At,Updated At,Depth,Alignment,Decidim User Group ID,Decidim Root Commentable Type,Decidim Root Commentable ID,Decidim Author Type,Body,Comments Count,Decidim Participatory Space Type,Decidim Participatory Space ID,Deleted At,Status,Sensitive Content
2222,Decidim::Proposals::Proposal,11649,1459429,2023-09-24T18:35:23.497586,2023-09-24T18:35:23.497586,0,0,,Decidim::Proposals::Proposal,11649,Decidim::UserBaseEntity,"{""pt-BR"": ""Otima""}",0,Decidim::Assembly,1,,0,false
2185,Decidim::Proposals::Proposal,11886,1459408,2023-09-24T17:40:13.803692,2023-09-24T17:40:13.803692,0,0,,Decidim::Proposals::Proposal,11886,Decidim::UserBaseEntity,"{""pt-BR"": ""Super favorável ""}",0,Decidim::Assembly,1,,0,false
2223,Decidim::Proposals::Proposal,11873,1459429,2023-09-24T18:35:29.367969,2023-09-24T18:35:29.367969,0,0,,Decidim::Proposals::Proposal,11873,Decidim::UserBaseEntity,"{""pt-BR"": ""Otima""}",0,Decidim::Assembly,1,,0,false
2182,Decidim::Proposals::Proposal,11767,213907,2023-09-24T14:09:26.714935,2023-09-24T14:09:26.714935,0,0,,Decidim::Proposals::Proposal,11767,Decidim::UserBaseEntity,"{""pt-BR"": ""Parabéns pela proposta! TB Precisamos cuidar e dar oportunidades a nossa juventude. Ela é o futuro do nosso país! ""}",0,Decidim::Assembly,1,,0,false
2183,Decidim::Proposals::Proposal,11862,1458187,2023-09-24T15:06:53.125194,2023-09-24T15:06:53.125194,0,1,,Decidim::Proposals::Proposal,11862,Decidim::UserBaseEntity,"{""pt-BR"": ""✊️✊️✊️✊️""}",0,Decidim::Assembly,1,,0,false
2184,Decidim::Proposals::Proposal,11711,1458187,2023-09-24T15:08:34.935572,2023-09-24T15:08:34.935572,0,1,,Decidim::Proposals::Proposal,11711,Decidim::UserBaseEntity,"{""pt-BR"": ""Ótima proposta, fundamental que as vagas do ID jovem sejam ampliadas ""}",0,Decidim::Assembly,1,,0,false
2186,Decidim::Proposals::Proposal,11791,1459409,2023-09-24T17:42:19.797369,2023-09-24T17:42:19.797369,0,1,,Decidim::Proposals::Proposal,11791,Decidim::UserBaseEntity,"{""pt-BR"": ""Proposta incrível😍👏🏻👏🏻👏🏻👏🏻""}",0,Decidim::Assembly,1,,0,false
2187,Decidim::Comments::Comment,2186,95771,2023-09-24T17:46:13.547002,2023-09-24T17:46:13.547002,1,0,,Decidim::Proposals::Proposal,11791,Decidim::UserBaseEntity,"{""pt-BR"": ""Muito obrigado, tia Lenny! 🥰🤝🏽""}",0,Decidim::Assembly,1,,0,false
2188,Decidim::Proposals::Proposal,11791,1459416,2023-09-24T18:06:52.287052,2023-09-24T18:06:52.287052,0,1,,Decidim::Proposals::Proposal,11791,Decidim::UserBaseEntity,"{""pt-BR"": ""Super apoio☺👏👏""}",0,Decidim::Assembly,1,,0,false
2189,Decidim::Comments::Comment,2188,95771,2023-09-24T18:07:58.224176,2023-09-24T18:07:58.224176,1,0,,Decidim::Proposals::Proposal,11791,Decidim::UserBaseEntity,"{""pt-BR"": ""Muito obrigado, Dani!! 🥰🤝🏽""}",0,Decidim::Assembly,1,,0,false
2190,Decidim::Proposals::Proposal,11651,1459418,2023-09-24T18:08:20.027993,2023-09-24T18:08:20.027993,0,0,,Decidim::Proposals::Proposal,11651,Decidim::UserBaseEntity,"{""pt-BR"": ""a Favor.""}",0,Decidim::Assembly,1,,0,false
2191,Decidim::Proposals::Proposal,11650,1459418,2023-09-24T18:08:23.245106,2023-09-24T18:08:23.245106,0,0,,Decidim::Proposals::Proposal,11650,Decidim::UserBaseEntity,"{""pt-BR"": ""a Favor.""}",0,Decidim::Assembly,1,,0,false
2192,Decidim::Proposals::Proposal,11649,1459418,2023-09-24T18:08:26.627931,2023-09-24T18:08:26.627931,0,0,,Decidim::Proposals::Proposal,11649,Decidim::UserBaseEntity,"{""pt-BR"": ""a Favor.""}",0,Decidim::Assembly,1,,0,false
2193,Decidim::Proposals::Proposal,11873,1459418,2023-09-24T18:08:31.384348,2023-09-24T18:08:31.384348,0,0,,Decidim::Proposals::Proposal,11873,Decidim::UserBaseEntity,"{""pt-BR"": ""a Favor.""}",0,Decidim::Assembly,1,,0,false
2194,Decidim::Proposals::Proposal,11910,1459421,2023-09-24T18:18:41.590478,2023-09-24T18:18:41.590478,0,0,,Decidim::Proposals::Proposal,11910,Decidim::UserBaseEntity,"{""pt-BR"": ""Otima""}",0,Decidim::Assembly,1,,0,false
2195,Decidim::Proposals::Proposal,11873,1459421,2023-09-24T18:18:49.609489,2023-09-24T18:18:49.609489,0,0,,Decidim::Proposals::Proposal,11873,Decidim::UserBaseEntity,"{""pt-BR"": ""Otima""}",0,Decidim::Assembly,1,,0,false
2196,Decidim::Proposals::Proposal,11649,1459421,2023-09-24T18:18:52.711865,2023-09-24T18:18:52.711865,0,0,,Decidim::Proposals::Proposal,11649,Decidim::UserBaseEntity,"{""pt-BR"": ""Otima""}",0,Decidim::Assembly,1,,0,false
2197,Decidim::Proposals::Proposal,11650,1459421,2023-09-24T18:18:57.321776,2023-09-24T18:18:57.321776,0,0,,Decidim::Proposals::Proposal,11650,Decidim::UserBaseEntity,"{""pt-BR"": ""Otima""}",0,Decidim::Assembly,1,,0,false
2198,Decidim::Proposals::Proposal,11651,1459421,2023-09-24T18:19:00.718717,2023-09-24T18:19:00.718717,0,0,,Decidim::Proposals::Proposal,11651,Decidim::UserBaseEntity,"{""pt-BR"": ""Otima""}",0,Decidim::Assembly,1,,0,false
